produit,% / total Autres Ports Francs,% / total Autres Ports Francs (from France),% / total Autres Ports Francs (from étranger),% / total Dunkerque,% / total Dunkerque (from France),% / total Dunkerque (from étranger),% Dunkerque / Ports Francs,% Dunkerque / Ports Francs (from France),% Dunkerque / Ports Francs (from étranger),etranger_to_autres_portsfrancs,etranger_to_dunkerque,france_to_autres_portsfrancs,france_to_dunkerque
Habits et lingerie,0.15,0.4,0.07,0.26,0.64,0.23,29.95,12.58,47.91,105532.25,97051,182958,26321
Fromage,0.31,0.2,0.34,0.29,0.69,0.25,18.75,23.39,17.82,495747.36,107533,91982.25,28081
Tabac,0.59,0.23,0.7,4.75,5.45,4.68,66.74,67.6,66.65,1006056.39,2010579,106928.1,223132.8
Toiles de chanvre et de lin,0.98,1.91,0.68,1.36,5.24,0.99,25.69,19.71,30.34,977363.21,425721,874884.5,214713
Bonneterie hors soie,0.25,0.97,0.02,0.55,0.16,0.59,35.7,1.5,91,25081.2,253694,44407,6755
Bonneterie de soie,0.01,0.04,0,0.01,0.07,0,13.59,13.59,,0,0,18445.5,2901.75
Combustibles dont charbons et bois,0.96,3.31,0.21,0.64,2.17,0.49,14.19,5.53,41.25,302151.98,212151,1518735.19,88857
Fils divers,3.61,0.36,4.64,0.46,2.86,0.24,3.1,41.25,1.5,6673636.2,101543,166782.45,11708
Étoffes de laine,9.5,27.63,3.71,3.89,2.95,3.98,9.22,0.94,24.24,5338036.59,1708312,12667038,120627
Textiles manufacturés divers et mélangés,0.02,0.08,0.01,0.07,0.25,0.05,42.09,21.32,74.36,7988,2317,38109,10329
"Cuirs, peaux et pelleterie",2.57,1.98,2.76,1.03,1.15,1.02,9.05,4.9,9.95,3967665.25,438598,909472.55,46903.32
Dentelles,0.27,1.13,0,0.65,7.35,0.01,37.01,36.7,88,6,44,519416,301086
Safran,0.26,0.02,0.34,0.01,0.08,0,0.67,26.74,0,486699.29,0,9098,3320.79
Muscades,0.01,0,0.01,0,0,0,12.05,1,10.79,11214,1356,0,18
Toiles de coton,1.08,1.07,1.08,7.3,1.99,7.8,62.71,14.24,68.37,1550093.8,3349884,489856.75,81356
Étoffes diverses,0.74,2.31,0.24,0.73,0.07,0.8,19.68,0.25,49.4,350916,34259,1058560.25,2695
Étoffes de soie,1.69,6.65,0.11,1.19,0.26,1.28,14.84,0.35,77.42,1598,54796,3046500.45,10729
Ouvrages métalliques,1.97,0.46,2.45,2.42,0.2,2.63,23.31,3.67,24.24,3526592.1,11285,213087,8119.65
"Meubles, glaces et miroirs",0.08,0.31,0,0.06,0.09,0.06,16.21,2.52,94.76,1337,24175,142768.75,3698
Produits inconnus,0.05,0.22,0,0.34,2.55,0.13,60.47,50.45,98.26,954,54026,102717.75,104581
Graines diverses et mélangées,0.03,0.03,0.03,0.01,0.02,0.01,9.56,4.06,11.3,43149.55,5495,14770.5,625
Horlogerie,0.03,0.01,0.04,0.01,0,0.01,4.33,2.65,4.5,54765,258,5506,15
Huile d'olive à manger,1.12,4.37,0.09,0.99,1.43,0.95,17.99,2.85,76.12,128318,409069,2004662.5,58733.2
Librairie,0.03,0.11,0.01,0.05,0.22,0.03,24.48,14.83,45.28,15068,1247,50581.4,8806.8
Châles et mouchoirs hors soie,0.16,0.59,0.02,2.73,0.17,2.97,80.81,2.5,97.38,34326,1276902,270534.5,6942
Argenterie et orfèvrerie,0.03,0.12,0,0,0,0,1.56,0.16,11.59,6912,906,55819.16,9
Dorure,0.55,2.29,0,0.01,0.08,0,0.49,0.32,1,0,18,1049675,3408
Fleurs artificielles et ouvrages de mode,0.01,0.06,0,0,0,0,0.51,0.51,,0,0,25554,131
Parfumerie et toilette,0.21,0.51,0.11,0.04,0.32,0.02,5.02,5.34,4.52,153631.9,7278,235957,13299
Quincaillerie,0.32,0.83,0.16,1.16,0.33,1.24,47.19,3.37,70.02,227343.84,530936,381746.45,13311
Rubanerie et passementerie de soie,0.6,2.26,0.07,0.06,0.69,0,2.43,2.65,0,96793,0,1035878.5,28237
"Bougies, chandelles et flambeaux",0.01,0.03,0.01,0.12,0.79,0.05,67.45,67.1,67.98,10404.95,22093,15883,32388
Objets d'art et d'histoire naturelle,0,0.01,0,0,0.01,0,14.96,3.41,1,0,855,6081,215
Vins de Bordeaux,0.02,0,0.02,0,0,0,0.32,1,0,32856,0,0,105
Sels chimiques,0.02,0.01,0.03,0,0,0,2.81,2.05,2.9,40243.2,12,4776,1
Réglisse,0.11,0,0.14,0.05,0.5,0.01,10.29,1,1.35,202274.78,2776,0,20433
Cochenille,1.12,0.01,1.48,0,0.01,0,0.02,9.23,0,21225,0,354,36
Bois divers hors combustible,0.25,0.33,0.23,0.04,0.19,0.03,3.91,4.92,3.43,326485.91,11612,152481.71,7892
Animaux,0.93,3.83,0,0.02,0.24,0,0.56,0.56,,0,0,1754082.6,983
Gants,0.02,0.1,0,0.07,0.03,0.08,43.55,3.06,1,0,3306,44683,141
Poils et crin,0.04,0.02,0.04,0.02,0.02,0.02,13.48,8.52,14.35,57321.85,9605,10706.48,997
Chairs et œufs,0.09,0.27,0.03,0.49,0.02,0.54,58.24,0.71,83.75,44863.41,231207,121573.4,875
Cordage et filets,0.06,0.05,0.06,0.09,0.96,0,27.12,64.82,1.83,88478.5,1646,21266.35,39182
"Farine, gruau, biscuits et pâtes",0.37,0.31,0.38,1.05,0,1.15,41.47,0.14,47.11,552942.29,492601,142586.07,196
Fruits frais,0.29,0.21,0.31,1.16,0.06,1.26,49.99,2.58,54.63,449563.71,541265,94502.75,2502.88
Huile de poisson,0.05,0,0.06,0.04,0,0.04,16.34,1,16.46,83607.5,16477,18,2
Légumes,0.44,0.83,0.32,0.1,0.36,0.08,5.38,3.72,6.73,456837.62,32951,382049.25,1476
Marbre brut et ouvré,0.21,0.01,0.27,0,0.01,0,0.06,6.27,0,386119.6,0,3675.82,246
"Porcelaine, poterie, faïence et ouvrages de terre",0.26,0.41,0.22,0.63,0.25,0.67,37.13,5.28,47.54,315032.92,285535,185982.5,1037
Subsistances diverses et mélangées,0.09,0.12,0.08,0.06,0.17,0.05,13.98,11.14,15.33,112554.24,20375,56254.67,7051.9
Graisses diverses,0.4,0.23,0.45,0.01,0.01,0.01,0.73,0.19,0.82,652336.27,5363,106556.56,205
Bijouterie et pierres fines,0.05,0.01,0.07,0.03,0.01,0.03,11.54,9.91,11.59,100578.5,13184,2946,324
Soieries diverses,2.72,2.81,2.69,0.44,0.61,0.43,3.87,1.9,4.51,3864951,18257,1288925,25009
Cire,0.51,0.15,0.63,0.11,0.04,0.12,5.08,2.11,5.31,902947.82,50605,70003.37,1507
Cacao et chocolat,0.76,0.01,1.01,0.01,0,0.02,0.46,6.48,0.45,1447013,6504,238,165
Drogues diverses,0.39,0.22,0.44,0.17,1.43,0.05,9.88,36.42,3.29,628121.66,21382,102566.65,58752
Plumes ouvrées,0,0.01,0,0.03,0.1,0.02,81.89,58.13,1,0,91,2905,4033
Soie,2.48,0.08,3.24,1.4,0.33,1.5,12.32,26.11,12.18,4655569,645912,38141.76,1348
Sucre,7.65,0.01,10.09,7.83,0,8.58,20.24,0.9,20.25,14506606,3683421,6729.3,61
"Mousseline, basin et nankin",0.91,3.53,0.08,0.3,0.02,0.33,7.65,0.05,56.13,111433,142556,1617577.5,756
Colles diverses,0.02,0,0.02,0.02,0.01,0.02,21.7,14.35,22.04,35779.88,10118,1862.5,312
Sel,0.08,0.31,0,1.09,4.61,0.75,78.17,57.34,99.2,26,323669,140597.18,188962.19
Bois des Indes,0.01,0,0.02,0,0,0,0.66,38.36,0,22766.13,0,247.5,154
Alcalis,0.76,0.07,0.98,0.02,0.06,0.01,0.52,7.04,0.35,1404790.98,4965,33475,2535.04
Coton non transformé,4.8,0.01,6.33,2.49,0.25,2.7,11.41,74.03,11.32,9095348,1161052,3609,10286.9
Gommes diverses,0.45,0.02,0.58,0.11,0.1,0.11,5.9,28.41,5.52,834691.3,48778,10661.2,4231.2
Drogues médicinales diverses,0.09,0.02,0.11,0.06,0.03,0.06,14.56,11.77,14.69,159795.8,27509,7737.05,1032
Manne et médicaments,0.15,0.04,0.19,0.08,0.21,0.07,11.66,33.93,9.81,270479,29426,16485.35,8464.5
Séné,0.16,0.01,0.21,0.05,0.12,0.05,7.4,57.79,6.03,304606.05,19537,3737.5,5117.5
Galle,0.5,0,0.65,0.02,0.16,0,0.75,1,0.05,939939,45,0,6660.8
Girofle,0.2,0,0.27,0.1,1.01,0.01,10.5,1,0.93,383394,36,0,41364
Laines non transformées diverses,2.18,0.27,2.79,0.42,1.86,0.28,4.55,37.75,2.93,4014528.3,1213,125494,76107.3
Boissons diverses et mélangées,0.01,0,0.01,0.03,0.09,0.02,40.48,1,32.06,18645.88,88,0,3879.36
Pêche et fruits de mer,0.64,0.22,0.77,0.51,0.24,0.53,16.49,8.94,17.11,1106500.08,228386,99160.2,9739.2
Savon,0.12,0.46,0.02,0.27,3.13,0,35.18,37.96,0,26715.65,0,209824.7,128373.5
Salpêtre et soufre,0.13,0.01,0.18,0.05,0.56,0,8.29,89.86,0,252549.15,0,2603.75,23075.87
Garance,0.16,0.18,0.16,0,0.02,0,0.43,1.08,0.2,227133,45,82381.95,896.4
Verdet,0.15,0.6,0,0.09,1,0.01,13.74,12.89,71.23,1353,335,276272,40874.5
Bouchons principalement en liège,0.01,0.02,0.01,0.01,0.11,0,19.45,33.05,9.76,16637.7,18,8796.48,4341.6
[vide],0,0,0,0,0.01,0,1,1,,0,0,0,287
Denrées coloniales et épiceries diverses,0.02,0.03,0.01,0.02,0,0.02,25.89,1,36.52,17929.9,10317,11942,121
Blé et autres grains comestibles,8.61,5.23,9.69,10.52,0,11.52,23.25,0,26.2,13932354.84,4945263,2396549.16,0
"Armes, munitions, poudre et pierres à fusil",0.03,0.12,0,0.03,0,0.03,17.99,0,1,0,11987,54655.58,0
Café,8.39,0,11.06,8.8,0,9.63,20.64,0,20.64,15901077.8,4136305,256.8,0
Cendres diverses,0.94,0.02,1.23,0.16,0,0.17,4,0,4.02,1765900.7,7398,9227.75,0
Chanvre,1.09,0.05,1.42,0.35,0,0.38,7.32,0,7.4,2036535.26,162862,24739.05,0
Cuivre,0.75,0.37,0.87,0,0,0,0,0,0,1253559.05,0,168804,0
Indigo,1.59,0.03,2.08,0.28,0,0.3,4.14,0,4.16,2995060.25,129961,12423,0
Cannelle,0.13,0.01,0.17,0.02,0,0.02,4.07,0,4.11,237614,10194,2655,0
Fer,0.01,0.02,0.01,0,0,0,1.72,0,2.47,19673.12,498,8702.66,0
Riz,0.66,0.01,0.87,0.37,0,0.4,12.09,0,12.14,1250484.27,17274,5288.12,0
Graines grasses,0.02,0.01,0.02,0.2,0,0.22,71.02,0,74.5,32115.48,93843,6176.8,0
Cordonnerie et sellerie,0,0.01,0,0.03,0,0.03,77.86,0,92.96,985,13011,2714,0
Chapeaux d'écorce et de paille,0.01,0,0.01,0,0,0,9.05,0,9.5,15740.3,1653,87,0
Bâtiments de mer et apparaux,0.12,0,0.16,0,0,0,0.22,0,0.22,223914.34,5,2,0
Rubanerie et passementerie diverse,0.02,0.04,0.01,0.02,0,0.02,17.41,0,29.87,17817.5,759,18192,0
Châles et mouchoirs de soie,0.11,0.31,0.04,0.48,0,0.53,53.02,0,78.84,61204,22802,14085,0
Étain,0.06,0,0.08,0.1,0,0.11,27.59,0,27.76,117814.99,45271,975,0
Chevaux et bêtes de somme,0,0,0,0.02,0,0.02,94.05,0,1,0,79,5,0
"Filoselle, fleuret et bourre de soie",0.01,0.01,0,0,0,0,0,0,0,5706,0,54,0
Monnaies et métaux précieux,0.02,0.02,0.02,0,0,0,0,0,0,31317,0,727,0
"Gravelée, potasse et védasse",0.19,0.01,0.25,1.54,0,1.68,66.44,0,66.75,360347.88,723273,5045.6,0
"Cornes, corail, écailles, ivoire et nacre",0.02,0.01,0.03,0.08,0,0.09,44.67,0,47.2,41034.03,3668,4399,0
Graines de jardin,0.01,0.05,0,0,0,0,1.38,0,1,0,324,23113.25,0
Acier,0.03,0,0.05,0.03,0,0.04,19.19,0,19.26,65910.93,15725,312.96,0
Quinquina,0.04,0.01,0.05,0,0,0,0,0,0,78436,0,24,0
Céruse et blanc de plomb,0.01,0,0.02,0.04,0,0.05,47.47,0,47.69,22225.8,20265,202.3,0
Métaux divers et mélangés,0.01,0,0.01,0,0,0,11.07,0,11.44,9662.8,1248,36,0
Divers incertains,0.01,0.02,0,0.35,0,0.39,93.55,0,99.31,115,16629,10311,0
Poivre et piment,0.61,0,0.81,0.67,0,0.73,21.33,0,21.33,1158198.23,31399,167,0
Huile d'olive pour fabrique,0,0.01,0,0,0,0,0,0,,0,0,326,0
Azur et cobalt,0,0,0,0.23,0,0.25,95.58,,95.58,4928.25,106485,0,0
Alun,0.12,0,0.16,0.07,0,0.08,12.45,,12.45,231544.49,32912,0,0
"Alquifoux, mine de plomb et graphite",0.05,0,0.06,0.01,0,0.01,5.74,,5.74,89006.25,5418,0,0
Fer-blanc,0.07,0,0.09,0.19,0,0.21,40.01,,40.01,133685.1,89144,0,0
Provisions diverses,0,0,0,0,0,0,1,,1,0,72,0,0
"Faucilles, faux et limes",0.01,0,0.01,0.01,0,0.01,24.3,,24.3,13240.2,425,0,0
Thé,0.01,0,0.01,1.82,0,2,97.74,,97.74,1979,856698,0,0
Lin,0.16,0,0.21,0,0,0,0,,0,296231,0,0,0
Vin de liqueurs,0.01,0,0.01,0,0,0,0,,0,10466.12,0,0,0
Rocou,0.03,0,0.04,0,0,0,0,,0,56499.5,0,0,0
Salsepareille,0.1,0,0.14,0,0,0,0,,0,196711.21,0,0,0
Plomb,0.03,0,0.05,0,0,0,0,,0,65348,0,0,0
