departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_1789,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,commodity_purpose,commodity_purpose2,commodity_purpose3,commodity_purpose4,all_cargos,nb_cargo
A0193167,Bastia,A1964713,Mer Mediterranée,,Etranger,,zone maritime,,1787-01-03,,,,,,0.0
A0232521,Gênes,A0087160,Catalogne,Espagne,Etranger,,Espagne,,1787-04-06,Ris,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000123', 'cargo_item_action': 'Transit', 'commodity_purpose': 'Ris', 'link_to_pointcall': '00184744', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-BLxxxx-xx-xxxxxx-FBxx'}]",1.0
A0209786,Port-Bail,A1963330,Jersey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,2.0,1787-07-29,Passagers,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000002', 'cargo_item_action': 'Out', 'commodity_purpose': 'Passagers', 'link_to_pointcall': '00113482', 'commodity_standardized_en': 'Passenger', 'commodity_standardized_fr': 'Passagers', 'commodity_permanent_coding': 'IY-AAxxxx-xx-xxxxxx-xxxx'}]",1.0
A0140266,Lorient,A0232521,Gênes,,Etranger,,République de Gênes,160.0,1787-11-12,Lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00180484', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-09-14,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-07-02,,,,,,0.0
A0124817,Nantes,A0691896,Brême,Quatre villes hanséatiques,Etranger,,Brême,110.0,1787-11-12,,,,,,0.0
A0187101,Le Havre,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,172.0,1787-12-29,,,,,,0.0
A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-04-24,,,,,,0.0
A0391854,Padstow,A0391854,Padstow,Angleterre,Etranger,Angleterre,Grande-Bretagne,32.0,1787-09-27,,,,,,0.0
A0187101,Le Havre,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,136.0,1787-05-14,,,,,,0.0
A0213139,Le Croisic,A1963986,Mer Baltique,,Etranger,,zone maritime,250.0,1787-04-21,Sel,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000129', 'cargo_item_action': 'out', 'commodity_purpose': 'Sel', 'link_to_pointcall': '00141025', 'commodity_standardized_en': 'Salt', 'commodity_standardized_fr': 'Sel', 'commodity_permanent_coding': 'IC-CAxxxx-xx-xxxxxx-FBFx'}]",1.0
A0147257,Saint-Tropez,A0148992,Nice,,Etranger,,Royaume de Piémont-Sardaigne,6.0,1787-03-07,Thon,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000020', 'cargo_item_action': 'Out', 'commodity_purpose': 'Thon', 'link_to_pointcall': '00181253', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'IA-FCBExx-xx-xxxxxx-FBxx'}]",1.0
A0213139,Le Croisic,A1963986,Mer Baltique,,Etranger,,zone maritime,200.0,1787-07-03,Sel,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000129', 'cargo_item_action': 'out', 'commodity_purpose': 'Sel', 'link_to_pointcall': '00141086', 'commodity_standardized_en': 'Salt', 'commodity_standardized_fr': 'Sel', 'commodity_permanent_coding': 'IC-CAxxxx-xx-xxxxxx-FBFx'}]",1.0
A0187101,Le Havre,A0360085,Lisbonne,Portugal,Etranger,,Portugal,405.0,1787-10-08,,,,,,0.0
A0136930,Marennes,A0389605,Combe Martin,Angleterre,Etranger,Angleterre,Grande-Bretagne,60.0,1787-09-22,Sel,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000129', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sel', 'link_to_pointcall': '00151431', 'commodity_standardized_en': 'Salt', 'commodity_standardized_fr': 'Sel', 'commodity_permanent_coding': 'IC-CAxxxx-xx-xxxxxx-FBFx'}]",1.0
A0133403,Ars-en-Ré,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,210.0,1787-05-14,Sel,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000129', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sel', 'link_to_pointcall': '00148295', 'commodity_standardized_en': 'Salt', 'commodity_standardized_fr': 'Sel', 'commodity_permanent_coding': 'IC-CAxxxx-xx-xxxxxx-FBFx'}]",1.0
A0187101,Le Havre,A1102661,Stockholm,Suède,Etranger,,Suède,188.0,1787-06-22,,,,,,0.0
A0147257,Saint-Tropez,A0232521,Gênes,,Etranger,,République de Gênes,30.0,1787-03-20,,,,,,0.0
A0200718,Brest,A0106063,Alicante,Espagne,Etranger,,Espagne,140.0,1787-05-26,Lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00145227', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0122218,Rouen,A0407958,Whitby,Angleterre,Etranger,Angleterre,Grande-Bretagne,52.0,1787-11-28,,,,,,0.0
A0133403,Ars-en-Ré,B0000048,Boston,Etats-Unis,Etranger,Massachussets,Etats-Unis d'Amérique,412.0,1787-04-19,Sel,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000129', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sel', 'link_to_pointcall': '00148436', 'commodity_standardized_en': 'Salt', 'commodity_standardized_fr': 'Sel', 'commodity_permanent_coding': 'IC-CAxxxx-xx-xxxxxx-FBFx'}]",1.0
A0140266,Lorient,A0360085,Lisbonne,Portugal,Etranger,,Portugal,130.0,1787-09-07,Lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00180172', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0180923,Bordeaux,A0620493,Zierikzee,Hollande,Etranger,Zélande,Provinces-Unies,152.0,1787-02-08,Vin,Marchandises,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00173824', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Out', 'commodity_purpose': 'Marchandises', 'link_to_pointcall': '00173824', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}]",2.0
A0140266,Lorient,A1963986,Mer Baltique,,Etranger,,zone maritime,266.0,1787-07-18,Lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00179695', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0213139,Le Croisic,A0912818,Bergue ,Danemark,Etranger,Norvège,Danemark,150.0,1787-03-08,,,,,,0.0
A0130761,Dieppe,A0410570,Brighton,Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1787-04-27,,,,,,0.0
A0165080,Calais,A0386686,Deal,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-05-22,,,,,,0.0
A0187101,Le Havre,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,84.0,1787-07-28,,,,,,0.0
A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,163.0,1787-07-13,Sucre,Café,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000147', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sucre', 'link_to_pointcall': '00176089', 'commodity_standardized_en': 'Sugar', 'commodity_standardized_fr': 'Sucre', 'commodity_permanent_coding': 'ID-GBAxxx-JF-DCAxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000138', 'cargo_item_action': 'Out', 'commodity_purpose': 'Café', 'link_to_pointcall': '00176089', 'commodity_standardized_en': 'Coffee', 'commodity_standardized_fr': 'Café', 'commodity_permanent_coding': 'ID-GCCxxx-xx-xxxxxx-FBxx'}]",2.0
A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,172.0,1787-04-20,Café,Sucre,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000138', 'cargo_item_action': 'Out', 'commodity_purpose': 'Café', 'link_to_pointcall': '00174320', 'commodity_standardized_en': 'Coffee', 'commodity_standardized_fr': 'Café', 'commodity_permanent_coding': 'ID-GCCxxx-xx-xxxxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000147', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sucre', 'link_to_pointcall': '00174320', 'commodity_standardized_en': 'Sugar', 'commodity_standardized_fr': 'Sucre', 'commodity_permanent_coding': 'ID-GBAxxx-JF-DCAxxx-FBxx'}]",2.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-12-21,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-09-02,,,,,,0.0
A0171758,Tonnay-Charente,A0381691,Londres,Angleterre,Etranger,Angleterre,Grande-Bretagne,116.0,1787-04-24,,,,,,0.0
B2009606,Cayenne,B0000005,New York,Etats-Unis,Etranger,New York,Etats-Unis d'Amérique,,1787-05-24,,,,,,0.0
A0180923,Bordeaux,A0095838,Le Passage / Pasaia,Espagne,Etranger,,Espagne,74.0,1787-06-19,Farine,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000124', 'cargo_item_action': 'Out', 'commodity_purpose': 'Farine', 'link_to_pointcall': '00174698', 'commodity_standardized_en': 'Flour', 'commodity_standardized_fr': 'Farine', 'commodity_permanent_coding': 'ID-BDxxxx-JF-AAAxxx-FBxx'}]",1.0
A0165080,Calais,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,80.0,1787-12-01,,,,,,0.0
A0140266,Lorient,B0000008,Salem,Etats-Unis,Etranger,Massachussets,Etats-Unis d'Amérique,110.0,1787-06-23,Sel,Thé,,,"[{'quantity': '29.0', 'quantity_u': 'Muids', 'commodity_id': '00000129', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sel', 'link_to_pointcall': '00179229', 'commodity_standardized_en': 'Salt', 'commodity_standardized_fr': 'Sel', 'commodity_permanent_coding': 'IC-CAxxxx-xx-xxxxxx-FBFx'}, {'quantity': '9.0', 'quantity_u': 'Caisse', 'commodity_id': '00000299', 'cargo_item_action': 'Out', 'commodity_purpose': 'Thé', 'link_to_pointcall': '00179229', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-GCDxxx-xx-xxxxxx-FBxx'}]",2.0
A0187995,Bayonne,A0046492,Bruges,Etats de l'Empereur,Etranger,Pays-Bas autrichiens,Autriche,180.0,1787-01-11,Vins,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vins', 'link_to_pointcall': '00140076', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}]",1.0
A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,179.0,1787-03-29,Vin,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00174183', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}]",1.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-10-29,,,,,,0.0
A0170819,Saint-Malo,A1963330,Jersey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,9.0,1787-08-25,Au lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'out', 'commodity_purpose': 'Au lest', 'link_to_pointcall': '00141999', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-09-27,,,,,,0.0
A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-09-15,,,,,,0.0
A0181755,Collioure,A0086055,Cadaqués,Espagne,Etranger,,Espagne,3.0,1787-01-22,Grains,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000512', 'cargo_item_action': 'Out', 'commodity_purpose': 'Grains', 'link_to_pointcall': '00169816', 'commodity_standardized_en': 'Grain', 'commodity_standardized_fr': 'Grain', 'commodity_permanent_coding': 'ID-BAxxxx-xx-xxxxxx-FBxx'}]",1.0
A0122918,Roscoff,A0388018,Coverack,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-07-27,Eau de vie,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000201', 'cargo_item_action': 'Out', 'commodity_purpose': 'Eau de vie', 'link_to_pointcall': '00145972', 'commodity_standardized_en': 'Brandy', 'commodity_standardized_fr': 'Eau-de-vie', 'commodity_permanent_coding': 'JF-FAxxxx-JF-EGBxxx-FBxx'}]",1.0
A0187995,Bayonne,A0103760,Saint-Sébastien,Espagne,Etranger,,Espagne,15.0,1787-03-07,Balloterie,Blé d' Inde,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': None, 'cargo_item_action': 'Out', 'commodity_purpose': 'Balloterie', 'link_to_pointcall': '00140172', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': None}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000474', 'cargo_item_action': 'Out', 'commodity_purpose': ""Blé d' Inde"", 'link_to_pointcall': '00140172', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-BBxxxx-xx-xxxxxx-xxxx'}]",2.0
A0200718,Brest,A0106063,Alicante,Espagne,Etranger,,Espagne,130.0,1787-05-26,Lest,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000094', 'cargo_item_action': 'Out', 'commodity_purpose': 'Lest', 'link_to_pointcall': '00145226', 'commodity_standardized_en': 'Ballast', 'commodity_standardized_fr': 'Lest', 'commodity_permanent_coding': 'TM-Zxxxxx-xx-xxxxxx-xxxx'}]",1.0
A0180923,Bordeaux,A0627935,Rotterdam,Hollande,Etranger,Hollande,Provinces-Unies,267.0,1787-09-28,Café,Sucre,Prunes,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000138', 'cargo_item_action': 'Out', 'commodity_purpose': 'Café', 'link_to_pointcall': '00176936', 'commodity_standardized_en': 'Coffee', 'commodity_standardized_fr': 'Café', 'commodity_permanent_coding': 'ID-GCCxxx-xx-xxxxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000147', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sucre', 'link_to_pointcall': '00176936', 'commodity_standardized_en': 'Sugar', 'commodity_standardized_fr': 'Sucre', 'commodity_permanent_coding': 'ID-GBAxxx-JF-DCAxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000433', 'cargo_item_action': 'Out', 'commodity_purpose': 'Prunes', 'link_to_pointcall': '00176936', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-FFExxx-xx-xxxxxx-FBxx'}]",3.0
A0180923,Bordeaux,A0816635,Copenhague ,Danemark,Etranger,,Danemark,130.0,1787-03-22,Vin,Prune,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00174126', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000433', 'cargo_item_action': 'Out', 'commodity_purpose': 'Prune', 'link_to_pointcall': '00174126', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-FFExxx-xx-xxxxxx-FBxx'}]",2.0
A0180923,Bordeaux,A1875058,Königsberg / Kaliningrad,Prusse,Etranger,,Prusse,200.0,1787-02-12,Vin,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000043', 'cargo_item_action': 'Out', 'commodity_purpose': 'Vin', 'link_to_pointcall': '00173847', 'commodity_standardized_en': 'Wine', 'commodity_standardized_fr': 'Vin', 'commodity_permanent_coding': 'ID-FFBxxx-JF-FAAAxx-FBxx'}]",1.0
A0130761,Dieppe,A0410570,Brighton,Angleterre,Etranger,Angleterre,Grande-Bretagne,40.0,1787-07-17,,,,,,0.0
A0136930,Marennes,A0618784,Dordrecht ,Hollande,Etranger,Hollande,Provinces-Unies,256.0,1787-06-16,Sel,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000129', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sel', 'link_to_pointcall': '00151779', 'commodity_standardized_en': 'Salt', 'commodity_standardized_fr': 'Sel', 'commodity_permanent_coding': 'IC-CAxxxx-xx-xxxxxx-FBFx'}]",1.0
A0180923,Bordeaux,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,198.0,1787-12-01,Sucre,Café,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000147', 'cargo_item_action': 'Out', 'commodity_purpose': 'Sucre', 'link_to_pointcall': '00177748', 'commodity_standardized_en': 'Sugar', 'commodity_standardized_fr': 'Sucre', 'commodity_permanent_coding': 'ID-GBAxxx-JF-DCAxxx-FBxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000138', 'cargo_item_action': 'Out', 'commodity_purpose': 'Café', 'link_to_pointcall': '00177748', 'commodity_standardized_en': 'Coffee', 'commodity_standardized_fr': 'Café', 'commodity_permanent_coding': 'ID-GCCxxx-xx-xxxxxx-FBxx'}]",2.0
A0187101,Le Havre,A0148992,Nice,,Etranger,,Royaume de Piémont-Sardaigne,205.0,1787-02-22,,,,,,0.0
A0140266,Lorient,D3674030,Chine,,Etranger,,Chine,813.0,1787-02-17,Diverses marchandises,Vivres pour l' équipage,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Out', 'commodity_purpose': 'Diverses marchandises', 'link_to_pointcall': '00178438', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}, {'quantity': None, 'quantity_u': None, 'commodity_id': '00000130', 'cargo_item_action': 'Out', 'commodity_purpose': ""Vivres pour l' équipage"", 'link_to_pointcall': '00178438', 'commodity_standardized_en': 'Food', 'commodity_standardized_fr': 'Vivres', 'commodity_permanent_coding': 'ID-AAxxxx-xx-xxxxxx-FBxx'}]",2.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,,1787-06-09,,,,,,0.0
A0180040,Frioul,A0354005,Gibraltar,Angleterre,Etranger,possessions anglaises en Méditerranée,Grande-Bretagne,,1787-09-15,Marchandises,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Transit', 'commodity_purpose': 'Marchandises', 'link_to_pointcall': '00188173', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}]",1.0
A0130763,Diélette,A1945858,Aurigny ,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,2.0,1787-05-04,Marchandises,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000013', 'cargo_item_action': 'Out', 'commodity_purpose': 'Marchandises', 'link_to_pointcall': '00108905', 'commodity_standardized_en': 'Sundries', 'commodity_standardized_fr': 'Diverses marchandises', 'commodity_permanent_coding': 'xx-xxxxxx-JZ-MAxxxx-xxxx'}]",1.0
A0189462,Gravelines,A1039917,Gothembourg ,Suède,Etranger,,Suède,93.0,1787-08-09,,,,,,0.0
B1965595,Saint-Pierre-et-Miquelon,A0399131,York,Angleterre,Etranger,Angleterre,Grande-Bretagne,30.0,1787-09-23,,,,,,0.0
A0187101,Le Havre,A0408148,Southampton,Angleterre,Etranger,Angleterre,Grande-Bretagne,38.0,1787-05-11,,,,,,0.0
A0152606,Boulogne-sur-Mer,A0390929,Angleterre,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-10-17,Genièvre,,,,"[{'quantity': None, 'quantity_u': None, 'commodity_id': '00000426', 'cargo_item_action': 'Out', 'commodity_purpose': 'Genièvre', 'link_to_pointcall': '00106632', 'commodity_standardized_en': None, 'commodity_standardized_fr': None, 'commodity_permanent_coding': 'ID-BFxxxx-JF-ECAxxx-FBxx'}]",1.0
A0192135,Fécamp,A0409139,Newcastle,Angleterre,Etranger,Angleterre,Grande-Bretagne,132.0,1787-06-08,,,,,,0.0
A0130761,Dieppe,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,145.0,1787-03-24,,,,,,0.0
A0122218,Rouen,A0120232,Cadix,Espagne,Etranger,,Espagne,195.0,1787-11-17,,,,,,0.0
A0124817,Nantes,A0360085,Lisbonne,Portugal,Etranger,,Portugal,65.0,1787-12-29,,,,,,0.0
A0165080,Calais,A0404691,Chatham ,Angleterre,Etranger,Angleterre,Grande-Bretagne,2.0,1787-06-17,,,,,,0.0
A0187101,Le Havre,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,196.0,1787-06-08,,,,,,0.0
A0218974,Ajaccio,A1964975,Italie,,Etranger,,multi-Etat,,1787-08-06,,,,,,0.0
A0187101,Le Havre,A0385489,Portsmouth,Angleterre,Etranger,Angleterre,Grande-Bretagne,84.0,1787-09-01,,,,,,0.0
A0193167,Bastia,A0236195,Capraia,,Etranger,,République de Gênes,,1787-11-24,,,,,,0.0
A0187101,Le Havre,A0743522,Hambourg,Quatre villes hanséatiques,Etranger,,Hambourg,163.0,1787-04-03,,,,,,0.0
A0187101,Le Havre,A0595327,Ross,Angleterre,Etranger,Irlande,Grande-Bretagne,36.0,1787-02-19,,,,,,0.0
A0187101,Le Havre,A0364551,Setúbal ,Portugal,Etranger,,Portugal,560.0,1787-10-26,,,,,,0.0
A0124817,Nantes,A0618784,Dordrecht ,Hollande,Etranger,Hollande,Provinces-Unies,162.0,1787-07-11,,,,,,0.0
A0165080,Calais,A0382747,Douvres,Angleterre,Etranger,Angleterre,Grande-Bretagne,32.0,1787-12-14,,,,,,0.0
