line_number,year,customs_region,partner,product_orthographic,product_simplification,product_revolutionempire,value,quantity,quantity_unit,quantity_unit_orthographic,quantity_unit_metric,unit_price_metric,value_per_unit,product_revolutionempire
7,1764,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,2000,50,livres,livres,kg,81.716034,40,Soieries diverses
7,1766,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,20000,500,livres,livres,kg,81.716034,40,Soieries diverses
5,1767,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,6000,150,livres,livres,kg,81.716034,40,Soieries diverses
6,1772,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,6000,150,Livres,livres,kg,81.716034,40,Soieries diverses
5,1774,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,7680,192,livres,livres,kg,81.716034,40,Soieries diverses
4,1776,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,5280,132,livres,livres,kg,81.716034,40,Soieries diverses
1,1754,Nantes,Angleterre,bas de soie,bas de soie,Soieries diverses,103.2000048,12,Paires,paires,nombre,4.3000002,8.600000400000001,Soieries diverses
6,1750,Rennes,Angleterre,bas de soie,bas de soie,Soieries diverses,48,3,paires,paires,nombre,8,16,Soieries diverses
3,1769,Rennes,Angleterre,bas de soie,bas de soie,Soieries diverses,150,15,paires,paires,nombre,5,10,Soieries diverses
1,1772,Rennes,pour l'Angleterre,bas de soie,bas de soie,Soieries diverses,880,8,douzaines de paires,douzaine de paires,nombre,4.5833335,110,Soieries diverses
35,1730,Rouen,Angleterre,bas de soie,bas de soie,Soieries diverses,135,3,livres,livres,kg,91.930542,45,Soieries diverses
1472,1738,Rouen,Angleterre,bas de soie,bas de soie,Soieries diverses,1350,33.75,livres,livres,kg,81.716034,40,Soieries diverses
56,1767,Rouen,Angleterre,bas de soie,bas de soie,Soieries diverses,4625,92.5,Livres,livres,kg,102.14504,50,Soieries diverses
1250,1769,Rouen,Angleterre,bas de soie,bas de soie,Soieries diverses,5825,116.5,Livres,livres,kg,102.14504,50,Soieries diverses
2765,1771,Rouen,Angleterre,bas de soie,bas de soie,Soieries diverses,7750,155,livres,livres,kg,102.14504,50,Soieries diverses
34,1777,Amiens,Angleterre,bas de soie,bas de soie,Soieries diverses,4030,100.75,Livres,livres,kg,81.716034,40,Soieries diverses
35,1777,Amiens,Angleterre,bas de soie,bas de soie,Soieries diverses,2120,212,Paires,paires,nombre,5,10,Soieries diverses
36,1777,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,44100,441,Douzaines,douzaine,nombre,8.333333,100,Soieries diverses
37,1777,Paris,Angleterre,bas de soie,bas de soie,Soieries diverses,14825,296.5,Livres,livres,kg,102.14504,50,Soieries diverses
753,1750,Bordeaux,Angleterre,bas de soie,bas de soie,Soieries diverses,2160,144,paires,paires,nombre,,15,Soieries diverses
754,1750,Lyon,Angleterre,bas de soie,bas de soie,Soieries diverses,320,8,livres,livres,kg,,40,Soieries diverses
755,1750,Marseille,Angleterre,bas de soie,bas de soie,Soieries diverses,1000,25,livres,livres,kg,,40,Soieries diverses
756,1750,Rennes,Angleterre,bas de soie,bas de soie,Soieries diverses,48,3,paires,paires,nombre,,16,Soieries diverses
757,1750,Rouen,Angleterre,bas de soie,bas de soie,Soieries diverses,2940,73,livres,livres,kg,,40.27397260273973,Soieries diverses
171,1752,,Angleterre,bas de soie,bas de soie,Soieries diverses,15765,,,unité manquante,unité manquante,,,Soieries diverses
237,1754,,Angleterre,bas de soie,bas de soie,Soieries diverses,43894,,,unité manquante,unité manquante,,,Soieries diverses
242,1755,,Angleterre,bas de soie,bas de soie,Soieries diverses,505,,,unité manquante,unité manquante,,,Soieries diverses
209,1756,,Angleterre,bas de soie,bas de soie,Soieries diverses,3620,,,unité manquante,unité manquante,,,Soieries diverses
227,1757,,Angleterre,bas de soie,bas de soie,Soieries diverses,5340,,,unité manquante,unité manquante,,,Soieries diverses
368,1758,,Angleterre,bas de soie,bas de soie,Soieries diverses,140,,,unité manquante,unité manquante,,,Soieries diverses
181,1759,,Angleterre,bas de soie,bas de soie,Soieries diverses,440,,,unité manquante,unité manquante,,,Soieries diverses
365,1760,,Angleterre,bas de soie,bas de soie,Soieries diverses,480,,,unité manquante,unité manquante,,,Soieries diverses
196,1761,,Angleterre,bas de soie,bas de soie,Soieries diverses,10423.6,,,unité manquante,unité manquante,,,Soieries diverses
114,1767,,Angleterre,bas de soie,bas de soie,Soieries diverses,11345,,,unité manquante,unité manquante,,,Soieries diverses
108,1768,,Angleterre,bas de soie,bas de soie,Soieries diverses,11761,,,unité manquante,unité manquante,,,Soieries diverses
92,1769,,Angleterre,bas de soie,bas de soie,Soieries diverses,20375,,,unité manquante,unité manquante,,,Soieries diverses
96,1770,,Angleterre,bas de soie,bas de soie,Soieries diverses,51890,,,unité manquante,unité manquante,,,Soieries diverses
105,1771,,Angleterre,bas de soie,bas de soie,Soieries diverses,,382,douzaines,douzaine,nombre,,,Soieries diverses
106,1771,,Angleterre,bas de soie,bas de soie,Soieries diverses,54280,363,livres,livres,kg,,149.5316804407713,Soieries diverses
105,1772,,Angleterre,bas de soie,bas de soie,Soieries diverses,59495,1486.875,livres,livres,kg,,40.01345102984448,Soieries diverses
111,1773,,Angleterre,bas de soie,bas de soie,Soieries diverses,65845,1631.375,livres,livres,kg,,40.36165811048961,Soieries diverses
112,1774,,Angleterre,bas de soie,bas de soie,Soieries diverses,53960,1349,livres,livres,kg,,40,Soieries diverses
112,1775,,Angleterre,bas de soie,bas de soie,Soieries diverses,48055,961,livres,livres,kg,,50.00520291363163,Soieries diverses
103,1776,,Angleterre,bas de soie,bas de soie,Soieries diverses,73960,1849,livres,livres,kg,,40,Soieries diverses
98,1777,,Angleterre,bas de soie,bas de soie,Soieries diverses,65075,6507,paires,paires,nombre,,10.00076840325803,Soieries diverses
107,1778,,Angleterre,bas de soie,bas de soie,Soieries diverses,23595,472,livres,livres,kg,,49.98940677966102,Soieries diverses
88,1779,,Angleterre,bas de soie,bas de soie,Soieries diverses,19828,363.5,livres,livres,kg,,54.5474552957359,Soieries diverses
84,1780,,Angleterre,bas de soie,bas de soie,Soieries diverses,14580,294.5,livres,livres,kg,,49.50764006791172,Soieries diverses
5527,1748,Bordeaux,Angleterre,bas de soie d'homme,bas de soie pour homme,Soieries diverses,300,20,paires,paires,nombre,7.5,15,Soieries diverses
5560,1748,Bordeaux,Angleterre,bas de soie d'homme,bas de soie pour homme,Soieries diverses,4680,312,paires,paires,nombre,7.5,15,Soieries diverses
5819,1749,Bordeaux,Angleterre,bas de soie d'homme,bas de soie pour homme,Soieries diverses,1500,100,Paires,paires,nombre,7.5,15,Soieries diverses
5526,1748,Bordeaux,Angleterre,bas de soie de femme,bas de soie pour femme,Soieries diverses,60,6,paires,paires,nombre,5,10,Soieries diverses
5559,1748,Bordeaux,Angleterre,bas de soie de femme,bas de soie pour femme,Soieries diverses,8640,72,Douzaines,douzaine,nombre,10,120,Soieries diverses
5818,1749,Bordeaux,Angleterre,bas de soie de femme,bas de soie pour femme,Soieries diverses,60,6,Paires,paires,nombre,5,10,Soieries diverses
1462,1746,Bordeaux,Angleterre,bas de soie pour femme,bas de soie pour femme,Soieries diverses,330,33,Paires,paires,nombre,5,10,Soieries diverses
1463,1746,Bordeaux,Angleterre,bas de soie pour homme,bas de soie pour homme,Soieries diverses,1530,102,Paires,paires,nombre,7.5,15,Soieries diverses
2570,1763,Nantes,Angleterre,blonde de soie,blonde de soie,Soieries diverses,40,10,Aunes,aunes,cm,.033658702,4,Soieries diverses
60,1767,Rouen,Angleterre,blonde de soie,blonde de soie,Soieries diverses,1200,8,Livres,livres,kg,306.43515,150,Soieries diverses
1251,1769,Rouen,Angleterre,blonde de soie,blonde de soie,Soieries diverses,68600,196,Livres,livres,kg,715.01532,350,Soieries diverses
2768,1771,Rouen,Angleterre,blonde de soie,blonde de soie,Soieries diverses,12250,35,livres,livres,kg,715.01532,350,Soieries diverses
2300,1774,Rouen,Angleterre,blonde de soie,blonde de soie,Soieries diverses,4200,12,Livres,livres,kg,715.01532,350,Soieries diverses
3960,1776,Rouen,Angleterre,blonde de soie,blonde de soie,Soieries diverses,1750,5,livres,livres,kg,715.01532,350,Soieries diverses
3961,1776,Rouen,Angleterre,blonde de soie,blonde de soie,Soieries diverses,500,1,paquet,paquets,contenant,500,500,Soieries diverses
335,1754,,Angleterre,blonde de soie,blonde de soie,Soieries diverses,700,,,unité manquante,unité manquante,,,Soieries diverses
183,1767,,Angleterre,blonde de soie,blonde de soie,Soieries diverses,2800,,,unité manquante,unité manquante,,,Soieries diverses
156,1769,,Angleterre,blonde de soie,blonde de soie,Soieries diverses,68600,,,unité manquante,unité manquante,,,Soieries diverses
159,1770,,Angleterre,blonde de soie,blonde de soie,Soieries diverses,6700,,,unité manquante,unité manquante,,,Soieries diverses
166,1771,,Angleterre,blonde de soie,blonde de soie,Soieries diverses,12250,35,charges,charges,kg,,350,Soieries diverses
174,1772,,Angleterre,blonde de soie,blonde de soie,Soieries diverses,12600,36,livres,livres,kg,,350,Soieries diverses
173,1773,,Angleterre,blonde de soie,blonde de soie,Soieries diverses,19950,57,livres,livres,kg,,350,Soieries diverses
170,1774,,Angleterre,blonde de soie,blonde de soie,Soieries diverses,4200,12,livres,livres,kg,,350,Soieries diverses
178,1775,,Angleterre,blonde de soie,blonde de soie,Soieries diverses,12600,36,livres,livres,kg,,350,Soieries diverses
175,1776,,Angleterre,blonde de soie,blonde de soie,Soieries diverses,2250,6,paquets,paquets,contenant,,375,Soieries diverses
38,1789,Amiens,Angleterre,bonneterie de soie bas,bas de soie,Soieries diverses,2544,26.5,douzaine,douzaine,nombre,8,96,Soieries diverses
11,1789,Caen,Angleterre,bonneterie de soie bas,bas de soie,Soieries diverses,243,27,paire,paires,nombre,,9,Soieries diverses
45,1789,Caen,Angleterre,bonneterie de soie bas,bas de soie,Soieries diverses,402,34,paire,paires,nombre,,11.82352941176471,Soieries diverses
1485,1738,Rouen,Angleterre,cordons de soie,cordons de soie,Soieries diverses,240,8,livres,livres,kg,61.287029,30,Soieries diverses
132,1777,Amiens,Angleterre,cordons de soie,cordons de soie,Soieries diverses,210,7,Livres,livres,kg,61.287029,30,Soieries diverses
1034,1757,,Angleterre,cordons de soie,cordons de soie,Soieries diverses,20,,,unité manquante,unité manquante,,,Soieries diverses
1484,1738,Rouen,Angleterre,cordons de soie or et argent,cordons de soie d'argent et d'or et de soie,Soieries diverses,105,1.75,livres,livres,kg,122.57406,60,Soieries diverses
785,1732,Rouen,Angleterre,galon de soie,galon de soie,Soieries diverses,483,23,livres,livres,kg,42.900921,21,Soieries diverses
61,1789,Amiens,Angleterre,gaze crêpe,gaze en crêpe,Soieries diverses,1440,640,aune,aunes,cm,,2.25,Soieries diverses
623,1788,,Angleterre,gaze crêpe,gaze en crêpe,Soieries diverses,56400,,,unité manquante,unité manquante,,,Soieries diverses
896,1797,,Angleterre,gaze crêpe et mouchoirs de soie,gaze crêpe et mouchoirs de soie,Soieries diverses,1000,,,unité manquante,unité manquante,,,Soieries diverses
1307,1802,,Angleterre,gaze crêpe et mouchoirs de soie,gaze crêpe et mouchoirs de soie,Soieries diverses,6081,,,unité manquante,unité manquante,,,Soieries diverses
1319,1803,,Angleterre,gaze crêpe et mouchoirs de soie,gaze crêpe et mouchoirs de soie,Soieries diverses,6540,,,unité manquante,unité manquante,,,Soieries diverses
1366,1811,,"Angleterre, en vertu de licences",gaze crêpe et tulle de soie,gaze crêpe et tulle de soie,Soieries diverses,212000,,,unité manquante,unité manquante,,,Soieries diverses
358,1787.2,Flandre,Angleterre,gaze de soie et fil,gaze de fil et de soie,Soieries diverses,18000,,,unité manquante,unité manquante,,,Soieries diverses
931,1787,,Angleterre,objets manufacturés gaze crêpe et mouchoirs de soie,gaze de soie et crêpe de soie et mouchoirs de soie,Soieries diverses,295900,,,unité manquante,unité manquante,,,Soieries diverses
655,1788,,Angleterre,objets manufacturés gaze crêpe et mouchoirs de soie,gaze de soie et crêpe de soie et mouchoirs de soie,Soieries diverses,160300,,,unité manquante,unité manquante,,,Soieries diverses
679,1789,,Angleterre,objets manufacturés gaze crêpe et mouchoirs de soie,gaze de soie et crêpe de soie et mouchoirs de soie,Soieries diverses,14000,,,unité manquante,unité manquante,,,Soieries diverses
1394,1814,,Angleterre,ouvrages de diverses matières gaze crêpe et tulle mélangées,crêpe et gaze et tulle,Soieries diverses,15100,,,unité manquante,unité manquante,,,Soieries diverses
1178,1813,,"Angleterre, en vertu de licences",ouvrages riches soierie et dorure,soierie et dorure,Soieries diverses,18900,,,unité manquante,unité manquante,,,Soieries diverses
555,1789,Bordeaux,Angleterre,parasols de soie,parasols de soie,Soieries diverses,1440,144,pièce,pièces,nombre,10,10,Soieries diverses
2128,1727,La Rochelle,L'Angleterre,pou de soie,pou de soie,Soieries diverses,400,80,Aunes,aunes,cm,.042073376,5,Soieries diverses
1464,1746,Bordeaux,Angleterre,soierie,soierie,Soieries diverses,1566,43.5,Livres,livres,kg,73.544434,36,Soieries diverses
5534,1748,Bordeaux,Angleterre,soierie,soierie,Soieries diverses,954,26.5,Livres,livres,kg,73.544434,36,Soieries diverses
5580,1748,Bordeaux,Angleterre,soierie,soierie,Soieries diverses,3348,93,Livres,livres,kg,73.544434,36,Soieries diverses
5826,1749,Bordeaux,Angleterre,soierie,soierie,Soieries diverses,2799,77.75,Livres,livres,kg,73.544434,36,Soieries diverses
1823,1750,Bordeaux,Angleterre,soierie,soierie,Soieries diverses,4140,115,Livres,livres,kg,73.544434,36,Soieries diverses
6206,1751,Bordeaux,Angleterre,soierie,soierie,Soieries diverses,2124,59,Livres,livres,kg,73.544434,36,Soieries diverses
1224,1723,La Rochelle,L'Angleterre,soierie,soierie,Soieries diverses,1530,34,Livres,livres,kg,91.930542,45,Soieries diverses
252,1743,Marseille,Pour l'Angleterre,soierie,soierie,Soieries diverses,167.5800072,9.3100004,Livres,livres,kg,36.772217,18,Soieries diverses
34,1728,Nantes,Angleterre,soierie,soierie,Soieries diverses,6900,172.5,Livre,livres,kg,81.716034,40,Soieries diverses
33,1731,Nantes,Angleterre,soierie,soierie,Soieries diverses,3280,82,Livre,livres,kg,81.716034,40,Soieries diverses
24,1732,Nantes,Angleterre,soierie,soierie,Soieries diverses,4080,102,Livre,livres,kg,81.716034,40,Soieries diverses
42,1734,Nantes,Angleterre,soierie,soierie,Soieries diverses,1480,37,Livre,livres,kg,81.716034,40,Soieries diverses
37,1735,Nantes,Angleterre,soierie,soierie,Soieries diverses,1520,38,Livre,livres,kg,81.716034,40,Soieries diverses
21,1736,Nantes,Angleterre,soierie,soierie,Soieries diverses,840,21,Livre,livres,kg,81.716034,40,Soieries diverses
24,1737,Nantes,Angleterre,soierie,soierie,Soieries diverses,880,22,Livre,livres,kg,81.716034,40,Soieries diverses
35,1739,Nantes,Angleterre,soierie,soierie,Soieries diverses,17600,440,Livre,livres,kg,81.716034,40,Soieries diverses
19,1743,Nantes,Angleterre,soierie,soierie,Soieries diverses,1160,29,livres,livres,kg,81.716034,40,Soieries diverses
1108,1750,Bordeaux,Angleterre,soierie,soierie,Soieries diverses,4140,115,livres,livres,kg,,36,Soieries diverses
1668,1725,La Rochelle,L'Angleterre,soierie de toile,soierie de toile,Soieries diverses,175,350,Nombre,nombre,nombre,.5,.5,Soieries diverses
