year,uhgs_id,count,Unnamed: 0,ogc_fid,x,y,total,toponym,toponyme_standard_fr,toponyme_standard_en,substate_1789_fr,state_1789_fr,substate_1789_en,state_1789_en,belonging_states,belonging_substates,status,has_a_clerk,geonameid,admiralty,province,shiparea,ferme_direction,ferme_bureau,partner_balance_1789,partner_balance_supp_1789,point,toponyme_Christian,facade
1790.0,A0397468,1,955.0,479.0,-0.783333,50.833333,12.0,Chichester,Chichester,Chichester,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2653192.0,,Sussex,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-0.783333,50.833333]}",,
1790.0,A0397762,2,980.0,448.0,0.0,51.466667,6.0,Greenwich,Greenwich,Greenwich,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2647937.0,,Surrey,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0,51.466667]}",,
1781.0,A0397988,1,,,0.9,51.716667,,,Bradwell,Bradwell,,,,,,,,,,,,,,,,,,Bradwell,est
1781.0,A0401159,1,791.0,217.0,-3.166667,55.95,10.0,Leith,Leith,Leith,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,2644641.0,,Ecosse,NOR-FORH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.166667,55.95]}",,
1790.0,A0401159,10,791.0,217.0,-3.166667,55.95,10.0,Leith,Leith,Leith,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,2644641.0,,Ecosse,NOR-FORH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.166667,55.95]}",,
1781.0,A0401283,1,1405.0,229.0,0.504513,51.389812,10.0,Rochester,Rochester,Rochester,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2639268.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.504513,51.389812]}",,
1790.0,A0401283,4,1405.0,229.0,0.504513,51.389812,10.0,Rochester,Rochester,Rochester,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2639268.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.504513,51.389812]}",,
1790.0,A0401605,1,963.0,270.0,-1.3,50.766667,3.0,Cowes,Cowes,Cowes,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2652204.0,,Hampshire,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.3,50.766667]}",,
1781.0,A0401683,9,1264.0,185.0,0.9,51.883333,6.0,Colchester,Colchester,Colchester,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2652618.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.9,51.883333]}",,
1790.0,A0401683,9,1264.0,185.0,0.9,51.883333,6.0,Colchester,Colchester,Colchester,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2652618.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.9,51.883333]}",,
1790.0,A0403551,1,31.0,211.0,-5.076111,50.148333,19.0,Falmouth,Falmouth,Falmouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2649715.0,,Cornwall,MAN-PLYM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-5.076111,50.148333]}",,
1781.0,A0404560,1,853.0,1058.0,-3.45,50.683333,1.0,Topsom [Topsham],Topsham,Topsham,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2635680.0,,Devon shire,ANE-PORT,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.45,50.683333]}",,
1781.0,A0404691,8,32.0,422.0,0.531778,51.380278,1.0,Chatam,Chatham,Chatham,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2653305.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.531778,51.380278]}",,
1790.0,A0404691,1,32.0,422.0,0.531778,51.380278,1.0,Chatam,Chatham,Chatham,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2653305.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.531778,51.380278]}",,
1790.0,A0406923,1,249.0,1186.0,0.083333,51.533333,0.0,,Barking,Barking,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.083333,51.533333]}",,
1781.0,A0407326,2,1195.0,474.0,1.316667,52.1,1.0,Woobridge,Woodbridge,Woodbridge,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,5926519.0,,Suffolk shire,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.316667,52.1]}",,
1790.0,A0407326,2,1195.0,474.0,1.316667,52.1,1.0,Woobridge,Woodbridge,Woodbridge,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,5926519.0,,Suffolk shire,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.316667,52.1]}",,
1781.0,A0409318,2,314.0,1178.0,1.15,51.066666,0.0,,Sandgate,Sandgate,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Kent,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.15,51.066666]}",,
1790.0,A0410522,1,753.0,239.0,0.366667,51.433333,2.0,Gravesend,Gravesend,Gravesend,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,6163035.0,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.366667,51.433333]}",,
1790.0,A1945598,1,1392.0,835.0,-2.6,49.45,182.0,Guernesey,Guernesey,Guernesey,Iles anglo-normandes,Grande-Bretagne,Channel Islands,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Iles anglo-normandes""}]",,,3042363.0,,Guernesey,MAN-PORT,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-2.6,49.45]}",,
