destination,1781,1782,1785,1786,1787,1788,1789,1790,1791,Facade,destination_fixed,Unnamed: 0,ogc_fid,uhgs_id,x,y,total,toponym,toponyme_standard_fr,toponyme_standard_en,substate_1789_fr,state_1789_fr,substate_1789_en,state_1789_en,belonging_states,belonging_substates,status,has_a_clerk,geonameid,admiralty,province,shiparea,ferme_direction,ferme_bureau,partner_balance_1789,partner_balance_supp_1789,point,indicator_column
Southend,,,,,,,1,,,Est,Southend,1280.0,1168.0,A0391400,0.7,51.533333,0.0,,Southend,Southend,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.7,51.533333]}",both
Southwold,,2,,,,,,2,,Est,Southwold,456.0,295.0,A0384802,1.683333,52.333333,3.0,Southwold,Southwold,Southwold,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2637277.0,,Suffolk shire,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.683333,52.333333]}",both
Stockton,,,1,1,1,1,,,,Est,Stockton,743.0,288.0,A0391902,-1.310022,54.564642,2.0,Stockton,Stockton,Stockton,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2636915.0,,Durham,NOR-TYNE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.310022,54.564642]}",both
Sunderland,,,6,3,,,,,,Est,Sunderland,107.0,763.0,A0380557,-1.383333,54.911944,171.0,Sunderland,Sunderland,Sunderland,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2636531.0,,North Umberland,NOR-TYNE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.383333,54.911944]}",both
Swansea,,,,,,,1,,,Ouest,Swansea,26.0,40.0,A0384574,-3.966667,51.633333,6.0,Swansey [Swansea],Swansea,Swansea,Pays de Galles,Grande-Bretagne,Wales,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Pays de Galles""}]",,,2636432.0,,Glamorgan shire,ANE-LUND,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.966667,51.633333]}",both
Wateford,,,,,1,,,,,Ouest,Waterford,812.0,433.0,A0599268,-7.129555,52.258197,15.0,Waterford,Waterford,Waterford,Irlande,Grande-Bretagne,Ireland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Irlande""}]",,,2960992.0,,Irlande,ANE-FAST,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-7.129555,52.258197]}",both
Weymouth,,,1,1,,,,,,Sud,Weymouth,1267.0,93.0,A0403842,-2.453864,50.608907,5.0,Weymouth,Weymouth,Weymouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2634202.0,,Dorset shire,MAN-PORT,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-2.453864,50.608907]}",both
Whistable,10,2,32,52,32,14,76,55,21,Est,Whistable,332.0,937.0,A0392080,1.1,51.35,8.0,Wistable,Whistable,Whistable,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,3209928.0,,Kent,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.1,51.35]}",both
Whitby,,,,1,,,,,,Est,Whitby,1155.0,461.0,A0407958,-0.616879,54.482919,24.0,Whitby,Whitby,Whitby,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2634135.0,,York shire,NOR-TYNE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-0.616879,54.482919]}",both
Whitehaven,,,,,,,,1,,Ouest,Whitehaven,960.0,887.0,A0395178,-3.6,54.55,5.0,Whitehaven,Whitehaven,Whitehaven,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2634096.0,,Cumberland,ANE-IRSE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.6,54.55]}",both
Wick,,,,,3,,,,,Est,Wick,502.0,1181.0,A0400354,-3.083333,58.433334,0.0,,Wick,Wick,Ecosse,Grande-Bretagne,Scotland,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Ecosse""}]",,,,,Ecosse,NOR-CROM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-3.083333,58.433334]}",both
Winchelsea,,,,,,1,,,,Sud,Winchelsea,405.0,1309.0,A0384670,0.716667,50.916667,0.0,Winchelsea,Winchelsea,Winchelsea,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Sussex,MAN-DOVE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.716667,50.916667]}",both
Wivenhoe,,,,1,,,11,2,22,Est,Wivenhoe,691.0,1317.0,A0392491,0.966667,51.85,0.0,Wevenhoe  [Wivenhoe],Wivenhoe,Wivenhoe,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,,,Essex,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[0.966667,51.85]}",both
Woodbridge,2,,,2,4,1,,4,,Est,Woodbridge,1195.0,474.0,A0407326,1.316667,52.1,1.0,Woobridge,Woodbridge,Woodbridge,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,5926519.0,,Suffolk shire,NOR-THAM,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[1.316667,52.1]}",both
Yarmouth,1,,,1,2,,6,11,3,Est,Yarmouth,1081.0,1061.0,A0388692,-1.5,50.7,39.0,Yarmouth,Yarmouth,Yarmouth,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2633414.0,,Hampshire,MAN-WIGH,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.5,50.7]}",both
York,,,,,,,3,,,Est,York,843.0,836.0,A0399131,-1.083333,53.966667,1.0,York,York,York,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,2633352.0,,York shire,NOR-HUMB,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-1.083333,53.966667]}",both
Ramsay (I de Man),,,,,,,,1,,Ouest,île de Man,654.0,146.0,A0089345,-4.525466,54.221862,2.0,Ile de Man,île de Man,Isle of Man,Angleterre,Grande-Bretagne,England,Great Britain,"[{""1749-1815"" : ""Grande-Bretagne""}]","[{""1749-1815"" : ""Angleterre""}]",,,3042211.0,,Isle of Man,ANE-IRSE,,,Angleterre,Etranger,"{""type"":""Point"",""coordinates"":[-4.525466,54.221862]}",both
